Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
+790,World,2024-04-20 23:12,0,0,"704,753,890","7,010,681","675,619,811"
,USA,2024-04-20 23:12,,,"111,820,082","1,219,487","109,814,428"
N/A,India,2024-04-20 23:12,,,"45,035,393","533,570",N/A
,France,2024-04-20 21:12,,,"40,138,560","167,642","39,970,918"
,Germany,2024-04-20 23:12,,,"38,828,995","183,027","38,240,600"
,Brazil,2024-04-20 11:10,,,"38,743,918","711,380","36,249,161"
,S. Korea,2024-04-17 11:59,,,"34,571,873","35,934","34,535,939"
N/A,Japan,2024-04-20 11:10,,,"33,803,572","74,694",N/A
,Italy,2024-04-20 16:11,,,"26,723,249","196,487","26,361,218"
,UK,2024-04-20 22:12,,,"24,910,387","232,112","24,678,275"
,Russia,2024-04-20 22:12,,,"24,124,215","402,756","23,545,818"
N/A,Turkey,2024-04-20 11:10,,,"17,232,066","102,174",N/A
,Spain,2024-04-20 18:12,,,"13,914,811","121,760","13,762,417"
,Australia,2024-04-20 22:12,,,"11,853,144","24,414","11,820,014"
,Vietnam,2024-04-20 11:10,,,"11,625,195","43,206","10,640,971"
,Taiwan,2024-04-20 15:11,,,"10,241,523","19,005","10,222,518"
,Argentina,2024-04-20 11:10,,,"10,128,845","130,841","9,997,258"
,Netherlands,2024-04-20 21:12,,,"8,635,786","22,992","8,612,599"
,Mexico,2024-04-20 11:10,,,"7,702,809","334,958","6,899,865"
N/A,Iran,2024-04-20 11:10,,,"7,627,186","146,811",N/A
,Indonesia,2024-04-20 12:10,,,"6,829,221","162,063","6,647,104"
N/A,Poland,2024-04-20 21:12,,,"6,661,991","120,598",N/A
,Colombia,2024-04-20 11:10,,,"6,400,173","143,200","6,212,152"
N/A,Greece,2024-04-20 23:12,,,"6,101,379","37,869",N/A
,Austria,2024-04-20 11:10,,,"6,081,287","22,542","6,054,934"
,Portugal,2024-04-20 11:10,,,"5,643,062","28,126","5,614,809"
,Ukraine,2024-04-20 19:12,,,"5,557,995","112,418","5,445,577"
,Chile,2024-04-20 11:10,,,"5,384,853","64,497","5,252,450"
,Malaysia,2024-04-20 11:10,,,"5,278,406","37,348","5,233,268"
+350,Canada,2024-04-20 20:12,,,"4,946,090","59,034","4,881,312"
+50,Belgium,2024-04-20 16:11,,,"4,861,695","34,376","4,826,798"
,Israel,2024-04-20 11:10,,,"4,841,772","12,707","4,798,473"
,DPRK,,,,"4,772,813",74,"4,772,739"
,Thailand,2024-04-20 11:10,,,"4,770,149","34,586","4,692,636"
,Czechia,2024-04-20 17:11,,,"4,759,041","43,517","4,715,206"
,Peru,2024-04-20 11:10,,,"4,572,667","222,161","4,350,506"
,Switzerland,2024-04-20 18:12,,,"4,453,053","14,452","4,438,309"
,Philippines,2024-04-20 22:12,,,"4,140,383","66,864","4,067,381"
,South Africa,2024-04-20 17:11,,,"4,076,463","102,595","3,912,506"
+390,Romania,2024-04-20 11:10,,,"3,529,735","68,929","3,460,149"
,Denmark,2024-04-20 11:10,,,"3,183,756","8,814","3,174,942"
,Singapore,2024-04-20 17:11,,,"3,006,155","2,024","3,004,131"
,Hong Kong,2024-04-20 13:10,,,"2,937,609","14,924","2,916,005"
+20,Sweden,2024-04-20 21:12,,,"2,754,129","27,407","2,726,492"
,New Zealand,2024-04-18 00:00,,,"2,621,111","5,697","2,613,791"
,Serbia,2024-04-20 11:10,,,"2,615,054","18,057","2,596,608"
,Iraq,2024-04-20 21:12,,,"2,465,545","25,375","2,439,497"
,Hungary,2024-04-20 20:12,,,"2,230,232","49,048","2,152,155"
N/A,Bangladesh,2024-04-20 21:12,,,"2,049,377","29,493",N/A
,Slovakia,2024-04-20 11:10,,,"1,877,605","21,224","1,856,381"
N/A,Georgia,2024-04-20 11:10,,,"1,861,665","17,132",N/A
,Jordan,2024-04-20 11:10,,,"1,746,997","14,122","1,731,007"
,Ireland,2024-04-20 22:12,,,"1,734,582","9,491","1,724,921"
,Pakistan,2024-04-20 11:10,,,"1,581,936","30,664","1,538,689"
+14,Finland,2024-04-20 14:11,,,"1,516,117","11,958","1,503,989"
,Norway,2024-04-20 11:10,,,"1,509,732","6,638","1,503,094"
,Kazakhstan,2024-04-20 11:10,,,"1,411,831","13,848","1,383,020"
,Lithuania,2024-04-20 11:10,,,"1,397,806","9,897","1,387,478"
,Slovenia,2024-04-20 11:10,,,"1,356,546","7,100","1,349,424"
,Bulgaria,2024-04-20 11:10,,,"1,339,851","38,748","1,292,944"
