Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
,World,4/24/2024 4:08,0.0,0.0,,,"675,619,811"
,USA,4/24/2024 3:08,,,,,"109,814,428"
,India,4/24/2024 4:08,,,,,
,France,4/23/2024 23:07,,,,,"39,970,918"
,Germany,4/24/2024 4:08,,,,,"38,240,600"
,Brazil,4/23/2024 23:07,,,,,"36,249,161"
,S. Korea,4/22/2024 11:57,,,,,"34,535,939"
,Japan,4/24/2024 3:08,,,,,
,Italy,4/24/2024 1:07,,,,,"26,361,218"
,UK,4/23/2024 23:07,,,,,"24,678,275"
,Russia,4/24/2024 3:08,,,,,"23,545,818"
,Turkey,4/24/2024 3:08,,,,,
,Spain,4/23/2024 23:07,,,,,"13,762,417"
,Australia,4/24/2024 0:07,,,,,"11,820,014"
,Vietnam,4/23/2024 23:07,,,,,"10,640,971"
,Taiwan,4/23/2024 23:07,,,,,"10,222,518"
,Argentina,4/23/2024 23:07,,,,,"9,997,258"
,Netherlands,4/24/2024 3:08,,,,,"8,612,599"
,Mexico,4/23/2024 23:07,,,,,"6,899,865"
,Iran,4/23/2024 23:07,,,,,
,Indonesia,4/23/2024 23:07,,,,,"6,647,104"
,Poland,4/23/2024 23:07,,,,,
,Colombia,4/23/2024 23:07,,,,,"6,212,152"
,Greece,4/24/2024 4:08,,,,,
,Austria,4/23/2024 23:07,,,,,"6,054,934"
,Portugal,4/23/2024 23:07,,,,,"5,614,809"
,Ukraine,4/23/2024 23:07,,,,,"5,445,577"
,Chile,4/23/2024 23:07,,,,,"5,252,450"
,Malaysia,4/24/2024 3:08,,,,,"5,233,268"
,Canada,4/24/2024 3:08,,,,,"4,881,312"
,Belgium,4/23/2024 23:07,,,,,"4,826,798"
,Israel,4/23/2024 23:07,,,,,"4,798,473"
,DPRK,,,,,74.0,"4,772,739"
,Thailand,4/24/2024 2:08,,,,,"4,692,636"
,Czechia,4/23/2024 23:07,,,,,"4,715,206"
,Peru,4/23/2024 23:07,,,,,"4,350,506"
,Switzerland,4/23/2024 23:07,,,,,"4,438,309"
,Philippines,4/24/2024 0:07,,,,,"4,067,381"
,South Africa,4/23/2024 13:04,,,,,"3,912,506"
,Romania,4/23/2024 23:07,,,,,"3,460,149"
,Denmark,4/23/2024 23:07,,,,,"3,174,942"
,Singapore,4/23/2024 23:07,,,,,"3,004,131"
,Hong Kong,4/23/2024 22:06,,,,,"2,916,005"
,Sweden,4/24/2024 3:08,,,,,"2,726,492"
,New Zealand,4/24/2024 3:08,,,,,"2,613,791"
,Serbia,4/23/2024 23:07,,,,,"2,596,608"
,Iraq,4/24/2024 3:08,,,,,"2,439,497"
,Hungary,4/23/2024 23:07,,,,,"2,152,155"
,Bangladesh,4/23/2024 23:07,,,,,
,Slovakia,4/23/2024 23:07,,,,,"1,856,381"
,Georgia,4/23/2024 23:07,,,,,
,Jordan,4/23/2024 23:07,,,,,"1,731,007"
,Ireland,4/24/2024 3:08,,,,,"1,724,921"
,Pakistan,4/23/2024 23:07,,,,,"1,538,689"
,Finland,4/24/2024 1:07,,,,,"1,503,989"
,Norway,4/23/2024 23:07,,,,,"1,503,094"
,Kazakhstan,4/23/2024 23:07,,,,,"1,383,020"
,Lithuania,4/23/2024 23:07,,,,,"1,387,478"
,Slovenia,4/23/2024 23:07,,,,,"1,349,424"
,Bulgaria,4/23/2024 23:07,,,,,"1,292,944"
,Croatia,4/23/2024 23:07,,,,,"1,258,432"
,Guatemala,4/23/2024 23:07,,,,,"1,269,891"
,Morocco,4/23/2024 23:07,,,,,
,Lebanon,4/23/2024 23:07,,,,,"1,087,587"
,Costa Rica,,,,,,
,Bolivia,4/23/2024 23:07,,,,,"1,177,145"
,Tunisia,4/23/2024 23:07,,,,,
,Cuba,4/23/2024 23:07,,,,,"1,106,660"
,Ecuador,4/23/2024 23:07,,,,,"1,034,145"
,UAE,4/24/2024 2:08,,,,,
,Panama,4/23/2024 23:07,,,,,"1,051,102"
,Uruguay,4/23/2024 23:07,,,,,"1,030,944"
,Mongolia,4/23/2024 23:07,,,,,"1,009,212"
,Nepal,4/23/2024 23:07,,,,,"991,322"
,Belarus,4/23/2024 23:07,,,,,"985,592"
,Latvia,4/23/2024 23:07,,,,,"971,406"
,Saudi Arabia,4/24/2024 2:08,,,,,
,Paraguay,4/23/2024 23:07,,,,,
,Azerbaijan,4/23/2024 23:07,,,,,"824,089"
,Bahrain,4/23/2024 23:07,,,,,"727,915"
,Cyprus,4/23/2024 23:07,,,,,"679,745"
,Dominican Republic,,,,,,"671,316"
,Sri Lanka,4/23/2024 3:01,,,,,"655,852"
,Kuwait,4/24/2024 3:08,,,,,
,Myanmar,4/23/2024 23:07,,,,,"620,159"
,Moldova,4/23/2024 23:07,,,,,
,Estonia,4/23/2024 23:07,,,,,
,Palestine,4/23/2024 23:07,,,,,"615,445"
,Venezuela,4/23/2024 23:07,,,,,"546,537"
,Egypt,4/23/2024 23:07,,,,,"442,182"
,Qatar,4/23/2024 23:07,,,,690.0,"513,687"
,Libya,4/23/2024 23:07,,,,,"500,835"
,China,4/23/2024 23:07,,,,,"379,053"
,Ethiopia,4/23/2024 23:07,,,,,"488,171"
,Réunion,,,,,921.0,
,Honduras,4/23/2024 23:07,,,,,
,Armenia,4/23/2024 23:07,,,,,"435,162"
,Bosnia and Herzegovina,,,,,,"379,084"
,Oman,4/23/2024 23:07,,,,,
,Luxembourg,4/23/2024 23:07,,,,,
,North Macedonia,,,,,,"337,068"
,Zambia,4/23/2024 23:07,,,,,"341,316"
,Kenya,4/23/2024 23:07,,,,,"337,309"
,Brunei,4/23/2024 23:07,,,,225.0,"243,601"
,Albania,4/23/2024 23:07,,,,,"330,233"
,Botswana,4/23/2024 23:07,,,,,"327,049"
,Montenegro,4/23/2024 23:07,,,,,"291,794"
,Algeria,4/23/2024 23:07,,,,,"183,061"
,Nigeria,4/24/2024 4:08,,,,,"259,953"
,Zimbabwe,4/23/2024 23:07,,,,,"258,888"
,Uzbekistan,4/23/2024 23:07,,,,,"241,486"
,Afghanistan,4/23/2024 23:07,,,,,"211,080"
,Mozambique,4/23/2024 23:07,,,,,"228,805"
,Martinique,4/23/2024 23:07,,,,,
,Laos,4/23/2024 23:07,,,,758.0,
,Iceland,4/24/2024 2:08,,,,229.0,
,Kyrgyzstan,4/23/2024 23:07,,,,,"196,406"
,Guadeloupe,4/23/2024 23:07,,,,,
,El Salvador,,,,,,"179,410"
,Trinidad and Tobago,,,,,,"187,078"
,Maldives,4/23/2024 23:07,,,,316.0,"163,687"
,Namibia,4/23/2024 23:07,,,,,"167,099"
,Uganda,4/23/2024 23:07,,,,,"100,431"
,Ghana,4/23/2024 23:07,,,,,"170,425"
,Jamaica,4/23/2024 23:07,,,,,
,Cambodia,4/23/2024 23:07,,,,,"136,044"
,Rwanda,4/23/2024 23:07,,,,,"132,039"
,Cameroon,4/24/2024 3:08,,,,,"123,280"
,Malta,4/23/2024 23:07,,,,885.0,"120,149"
,Barbados,4/23/2024 23:07,,,,648.0,"108,647"
,Angola,4/23/2024 23:07,,,,,"103,419"
,Channel Islands,,,,,228.0,"101,321"
,DRC,4/23/2024 23:07,,,,,"84,489"
,French Guiana,,,,,420.0,"11,254"
,Malawi,4/23/2024 23:07,,,,,
