Active Cases_text,Country_text,Last Update,New Cases_text,New Deaths_text,Total Cases_text,Total Deaths_text,Total Recovered_text
697743209,World,4/24/2024 4:08,0.0,0.0,704753890,7010681,"675,619,811"
110600595,USA,4/24/2024 3:08,,,111820082,1219487,"109,814,428"
44501823,India,4/24/2024 4:08,,,45035393,533570,
39970918,France,4/23/2024 23:07,,,40138560,167642,"39,970,918"
38645968,Germany,4/24/2024 4:08,,,38828995,183027,"38,240,600"
38032538,Brazil,4/23/2024 23:07,,,38743918,711380,"36,249,161"
34535939,S. Korea,4/22/2024 11:57,,,34571873,35934,"34,535,939"
33728878,Japan,4/24/2024 3:08,,,33803572,74694,
26526762,Italy,4/24/2024 1:07,,,26723249,196487,"26,361,218"
24678275,UK,4/23/2024 23:07,,,24910387,232112,"24,678,275"
23721459,Russia,4/24/2024 3:08,,,24124215,402756,"23,545,818"
17129892,Turkey,4/24/2024 3:08,,,17232066,102174,
13793051,Spain,4/23/2024 23:07,,,13914811,121760,"13,762,417"
11828730,Australia,4/24/2024 0:07,,,11853144,24414,"11,820,014"
11581989,Vietnam,4/23/2024 23:07,,,11625195,43206,"10,640,971"
10222518,Taiwan,4/23/2024 23:07,,,10241523,19005,"10,222,518"
9998004,Argentina,4/23/2024 23:07,,,10128845,130841,"9,997,258"
8612794,Netherlands,4/24/2024 3:08,,,8635786,22992,"8,612,599"
7367851,Mexico,4/23/2024 23:07,,,7702809,334958,"6,899,865"
7480375,Iran,4/23/2024 23:07,,,7627186,146811,
6667158,Indonesia,4/23/2024 23:07,,,6829221,162063,"6,647,104"
6541393,Poland,4/23/2024 23:07,,,6661991,120598,
6256973,Colombia,4/23/2024 23:07,,,6400173,143200,"6,212,152"
6063510,Greece,4/24/2024 4:08,,,6101379,37869,
6058745,Austria,4/23/2024 23:07,,,6081287,22542,"6,054,934"
5614936,Portugal,4/23/2024 23:07,,,5643062,28126,"5,614,809"
5445577,Ukraine,4/23/2024 23:07,,,5557995,112418,"5,445,577"
5320356,Chile,4/23/2024 23:07,,,5384853,64497,"5,252,450"
5241058,Malaysia,4/24/2024 3:08,,,5278406,37348,"5,233,268"
4887056,Canada,4/24/2024 3:08,,,4946090,59034,"4,881,312"
4827319,Belgium,4/23/2024 23:07,,,4861695,34376,"4,826,798"
4829065,Israel,4/23/2024 23:07,,,4841772,12707,"4,798,473"
